https://appiumpro.com/editions/98,Visual Testing With Appium, Part 1,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/63,Capturing Android Emulator Network Traffic with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/43,How To Automatically Grant iOS App Permissions Using Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/83,Speeding Up Android Screenshots With MJPEG Servers,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/103,Free Tools For Mobile App Performance Testing With Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/53,Accessing Android Logcat Logs with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/1,Seeding the iOS simulator with test photos,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/23,Making Your Appium Tests Fast and Reliable, Part 5: Setting Up App State,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/73,Working with Multile Webviews in Android Hybrid Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/13,Switching Between iOS Apps During a Test,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/34,Simulating Hardware Keys And Key Events On Android,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/93,Managing Chromedriver for Android Chrome and Webview Testing,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/44,Working With Web Components (Shadow DOM),https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/64,Validating Android Toast Messages,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/84,Reliably Opening Deep Links Across Platforms and Devices,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/104,Simulating Different Network Conditions For Virtual Devices,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/54,Using Appium With Selenium Grid,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/74,Automating Custom IoT Devices With Appium, Part 1,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/24,Making Your Appium Tests Fast and Reliable, Part 6: Tuning Your Capabilities,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/14,How to Automate a Pop Rock Band,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/2,Seeding an Android device with test photos,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/45,How to Automate Siri Voice Commands Using Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/35,Writing XPath Queries That Work,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/94,Using the Appium Events API,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/85,Batching Appium Commands Using Execute Driver Script to Speed Up Tests,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/65,Capturing Network Traffic in Java with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/105,Paid Tools And Services For Mobile App Performance Testing,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/55,Using Mobile Execution Commands to Continuously Stream Device Logs with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/75,Automating Custom IoT Devices With Appium, Part 2,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/25,Making Your Appium Tests Fast and Reliable, Part 7: Disabling Animations,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/15,Testing iOS Push Notifications,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/3,Running arbitrary ADB commands via Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/46,Sending Arbitrary Keystrokes With The Actions API,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/36,Using The 'nativeWebTap' Capability,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/95,The 'Android Data Matcher' Locator Strategy,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/66,Automating System Apps with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/86,Connecting Directly to Appium Hosts in Distributed Environments,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/56,What Appium Users Need to Know about Android Activities and Intents,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/4,Using Appium for Testing Mobile Web Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/76,Testing React Native Apps with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/26,Making Your Appium Tests Fast and Reliable, Part 8: Mocking External Services,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/16,Automating the Clipboard on iOS and Android,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/67,Generating Touch Gestures to Zoom In and Out on Google Maps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/96,Working With Cookies,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/87,Working With Android 10,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/37,Capturing Browser Errors and Logs in iOS Web/Hybrid Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/47,Running Appium From Source (Or The Latest Beta),https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/57,How to Determine Element Locators For Mobile Web and Hybrid Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/27,Making Your Appium Tests Fast and Reliable, Part 9: When Things Go Wrong,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/5,Performance Testing of Android Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/77,Optimizing WebDriverAgent Startup Performance,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/17,Automating Cross-Platform Hybrid Apps,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/97,Capturing App Launch Metrics On Android,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/6,Testing iOS App Upgrades,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://appiumpro.com/editions/7,Speeding Up Tests With Deep Links,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://bitbar.com/tag/appium/,http://bitbar.com/tag/appium/,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://graphwalker.github.io/appium-example/,GraphWalker,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://caps.cloudgrey.io/,All about Appium Desired Capabilities,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
