http://pasteapp.me,Paste,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://justgetflux.com/,f.lux,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://www.controlplaneapp.com/,ControlPlane,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
https://designer.io/,Gravit Designer,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://itunes.apple.com/us/app/time-out-break-reminders/id402592703?mt=12,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://bootstrapstudio.io/,Bootstrap Studio,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://web.archive.org/web/20190515060747/https://coffeeboo.itch.io/sweeper,Torimori Sweeper,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://www.libreoffice.org,LibreOffice,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://www.eisbahn.jp/chrome_mysql_admin,Chrome MySQL Admin,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://peacockmedia.software/mac/integrity/free.html,Integrity,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
https://visidata.org,VisiData,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://shifty.natethompson.io,Shifty,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
http://www.timelane.tools,Timelane,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://coffeeboo.itch.io/sweeper,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://www.getcloudapp.com/,CloudApp,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://macdown.uranusjr.com/,MacDown,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
http://scripts.sil.org/ukelele,Ukelele,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
http://www.freedownloadmanager.org/,Free Download Manager,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.foxmail.com/mac/en,Foxmail,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://www.tayasui.com/sketches/,Tayasui Sketches,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.macstories.net/,MacStories,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://www.alsoft.com/DiskWarrior/,DiskWarrior,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://itunes.apple.com/app/keka/id470158793,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://itunes.apple.com/app/spectrum/id518156125?mt=12,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://koekeishiya.github.io/chunkwm/,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.chromium.org/Home,Chromium,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://itunes.apple.com/app/gifox-gif-recording-and-sharing/id1082624744,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nylas.com/nylas-mail/,Nylas Mail,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
